Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.8755,0.7958656330749354,0.6443514644351465,0.7121387283236994
Decision Tree,0.8695,0.7488532110091743,0.6830543933054394,0.7144420131291028
Random Forest,0.88075,0.8035487959442332,0.6631799163179917,0.7266475644699141
XGBoost,0.87425,0.7661574618096357,0.6820083682008368,0.7216380741560597
